time,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,dewpoint_temperature_2m,temperature_2m,soil_temperature_level_1,snow_cover,volumetric_soil_water_layer_1,forecast_albedo,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,evaporation_from_the_top_of_canopy_sum,surface_pressure,total_precipitation_sum,temperature_2m_min,temperature_2m_max,u_component_of_wind_10m,v_component_of_wind_10m,R_Landsat8,R_MODIS,NIR_Landsat8,NIR_MODIS
2009-11-16,0.828368,1.0,-29.3346,1.0,3.10237,1.0,3.45522,0.352843,5.31692,1.36781,281.8243522505326,284.3151774961939,283.2747871861313,0.0,0.28403886750089596,0.12395373106109421,-2097190.9511111113,3535148.4145454536,2554148.7103030295,27836190.02868686,-0.0006458139487288214,100469.93949731688,0.003699152535862392,280.91939445726786,287.9733932772549,1.348769720572012,3.4460553315512645,,0.0499274011299435,,0.18480969868173255
2009-11-17,-0.10298,1.0,-47.1227,1.0,3.80404,1.0,3.52524,-0.278797,4.83524,1.53143,280.930634290907,283.68378377073134,283.3088149551751,0.0,0.27044855047155303,0.12383654623276705,-1347611.139393939,2911559.9636363634,2744007.7793939384,26819031.286060594,-0.0001948319334122869,100930.32670947757,0.0005455468120067511,282.26974524295684,285.2190108667238,2.9251713358111644,3.4193471045285353,,0.05089483311938381,,0.1837475609756097
2009-11-18,-0.151771,1.0,-12.0551,1.0,3.93691,1.0,3.66739,-0.269516,4.8749,1.45603,280.0339926959207,284.0357005171342,283.32456688363936,0.0,0.26004282556398944,0.12372186253574811,-1816971.5094949491,3366345.0432323217,2864897.229090908,27615350.84080807,-7.111878331863515e-05,101407.19608901512,5.052483442560517e-05,281.4487303146208,286.2812293466895,4.55229136361016,5.56509813469267,,0.05071832477535301,,0.18331919127086
2009-11-19,6.74953,1.0,-6.60995,1.0,2.2635,0.958333,3.74263,1.47913,4.85553,2.33748,279.9896105263449,283.47607492851483,283.25823687543766,0.0,0.25124959271363534,0.12360624163113655,-1662198.381414141,3377936.4896969693,4903135.808484847,24488150.6690909,-2.6271321029976155e-06,101686.84330485847,9.579789939885405e-07,281.96723737003816,285.3431738312075,1.9081960769293675,4.832719176835082,,0.050534627727856204,,0.18283141848523746
2009-11-20,2.75243,1.0,1.94443,1.0,2.35818,1.0,3.96764,1.60946,4.98879,1.95911,282.39303310175933,285.7588843600597,284.3339472529862,0.0,0.2479043179650098,0.12348886719713557,-2195616.4476767667,3630798.2408080795,3944143.494949494,27794116.9850505,-0.0003456469992119253,101631.25243634255,0.0011652291994083137,283.8548176158558,287.9173063860035,2.074301214764013,4.36931255456173,,0.05035689987163028,,0.18232583440308087
2009-11-21,6.26333,1.0,-8.93208,1.0,1.82456,0.895833,3.96899,2.14443,5.0433,1.89929,283.46835327430995,286.37246969666137,285.289074087175,0.0,0.24900718059604007,0.1233750333941168,-2010658.6496969694,2107611.339797979,4672091.124040404,28767377.94505049,-0.00036588399812127596,101780.24902915875,0.0007079985949092521,284.0896364400844,288.9053307242345,-0.1466337677926728,3.7015860063379438,,0.0503175032175032,,0.18293770913770907
2009-11-22,3.32339,1.0,-0.499635,1.0,2.13171,1.0,3.7359,1.60419,4.90392,2.04249,280.69390337086685,284.79055642612843,284.5786404650138,0.0,0.27069294977669756,0.12325799627292283,-4913374.05090909,4630783.43111111,4346198.0355555555,27474315.085252516,-0.0013008934893466606,100609.92315189652,0.005701367400454501,282.3645978338067,287.0681059619632,3.4955904850815265,5.941962258695352,,0.0498027992277992,,0.18197004504504494
2009-11-23,1.09805,0.666667,-15.1608,0.666667,3.7406,0.958333,3.53733,-0.203266,4.79182,0.348485,280.2870307855572,283.2361457218465,283.0118112850509,0.0,0.31158184462524807,0.12314391342283347,-4160570.0763636357,5890944.564040401,544104.3894949494,28209716.377373725,-0.0014943913140832768,100018.39208734478,0.021275761136400607,281.9764332935062,285.02234328452977,6.136254616682775,4.996067662736781,,0.04346077481840194,,0.16105488297013723
2009-11-24,-1.34547,1.0,-48.8761,1.0,3.79125,1.0,3.59156,-0.199685,4.91239,0.99209,281.2044892094672,284.20806998179006,283.39934591890574,0.0,0.30408176216613547,0.12303029874013578,-2151937.196363636,4384974.242424241,1795116.645656565,27591208.70383838,-0.000628732553485668,100786.96609125103,0.0017981481552124018,282.23623275602705,286.33019132980183,4.774285275751492,3.5730838241320253,,0.0524989604989605,,0.1660864864864865
2009-11-25,1.5824,1.0,25.3625,1.0,2.89985,1.0,3.51375,0.613905,4.9097,0.549171,279.43728261876976,283.6537322592172,283.2983286347051,0.0,0.28802001041194003,0.12291425282430364,-2508787.0561616155,5048498.710303029,868154.562424242,27203554.741010092,-0.0006006654594657997,100319.93771905247,0.0015021160094424927,281.8964128652244,284.72520476370136,3.8852828615201425,5.983440989677351,,0.0524727130977131,,0.1660103430353431
