time,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,NEE_VUT_REF,NEE_VUT_REF_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,RECO_NT_VUT_REF,RECO_DT_VUT_REF,NDVI_Landsat5,NDVI_Landsat7,NDVI_Landsat8,NDVI_MODIS,NDVI_Sentinel2,EVI_Landsat5,EVI_Landsat7,EVI_Landsat8,EVI_MODIS,EVI_Sentinel2,NIRv_Landsat5,NIRv_Landsat7,NIRv_Landsat8,NIRv_MODIS,NIRv_Sentinel2,kNDVI_Landsat5,kNDVI_Landsat7,kNDVI_Landsat8,kNDVI_MODIS,kNDVI_Sentinel2,temperature_2m,soil_temperature_level_1,volumetric_soil_water_layer_1,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,surface_net_radiation_sum,surface_pressure,total_precipitation_sum,VPD,co2,FAPAR_MODIS_PROD,C3_LUE,IWUE,C4_LUE,C4_RATIO,KOPPEN,DEM,YEAR,MONTH,LAT,LON,FAPAR_Landsat5,FAPAR_Landsat7,FAPAR_Landsat8,FAPAR_MODIS,FAPAR_Sentinel2,IGBP,El-Nino-La-Nina,GPPm,RECOm,NEEm,LEm
2011-08-01,54.28929741935483,0.9952957096774193,27.00944419354838,0.9966398064516129,-1.6621013322580647,0.9912634838709677,9.00238935483871,9.372603870967742,7.142900322580645,8.079442903225805,0.7352478838064257,0.6668295747634937,,0.7646422404845741,,0.37540711329945814,0.41599314878716337,,0.4240475118790456,,0.1718989147230414,0.2003238490035224,,0.20185262096432982,,0.4934340292478594,0.41750103764733476,,0.5260502234655133,,17.209041108684183,17.558631259648426,0.27140281435279845,165.87836201486184,354.9528657064973,92.2681882878521,1012.0015733439906,0.004355483010338677,3.9229243016547124,390.33384112606046,0.7316976002999626,0.2713428564719066,60.37715852363892,0.3092826107062233,13.165573536134064,15.0,13.48312370239969,2011,8,51.30761,4.51984,0.34425889162432266,0.39499143598395414,,0.40505938984880696,,5,-2,6.026712606263977,5.211497042813281,-0.8152155634506952,67.42201765790898
2011-09-01,46.59797666666667,0.9986111,12.990272333333333,0.9986111,-0.14537366666666665,0.9875000333333334,7.567465333333334,7.161854999999999,7.1228696666666655,6.909535666666669,0.7289266078725177,0.8115048924088789,,0.7542207582187207,,0.37227680247157846,0.38084431241634514,,0.37893548472060046,,0.17006158377875372,0.17521122152280302,,0.17416142694520023,,0.4864001464402624,0.5773910957067871,,0.5144875817442455,,16.165715986335258,16.18133991124998,0.24436008059483447,129.89301838436637,343.1009237807083,59.19725291183872,1013.9745190104384,0.001644332920404656,3.736463208317831,394.9092770199043,0.5760639295088114,0.2733874006505183,62.84949936783958,0.2944077765074024,13.165573536134064,15.0,13.48312370239969,2011,9,51.30761,4.51984,0.3403460030894731,0.3510553905204314,,0.3486693559007506,,5,-2,3.57337361994158,4.113626141906484,0.5402525219649039,41.10655905614699
2011-10-01,26.822663870967734,0.9973118387096774,-10.132329774193547,0.9966397741935483,1.6801060645161296,0.9946237096774194,4.159942000000001,4.1596383870967735,5.792573225806452,6.052776451612903,0.6944467801432916,0.6699973837773875,,0.7251914490025045,,0.30661015840854094,0.28576010319118583,,0.3474181315853027,,0.13226117799664405,0.12216454495913327,,0.1555040099167162,,0.4480488093670405,0.4253596741440293,,0.48225066637636654,,12.183364940662718,12.25304024791742,0.2304231491909232,83.60241146363317,319.13660779313426,19.772230068863287,1017.2161817941891,0.001338345233733316,3.006315569653574,400.56833821381787,0.7287896875959153,0.2711644871207324,69.9609546563087,0.22850875041969432,13.165573536134064,15.0,13.48312370239969,2011,10,51.30761,4.51984,0.2582626980106762,0.2322001289889823,,0.3092726644816284,,5,-2,1.1054572258888617,2.8520105550210437,1.746553329132182,11.013680672173521
2011-11-01,7.011465099999998,1.0,3.8110083666666674,1.0,2.2668290533333333,0.9979166666666667,1.9615755000000001,2.092438966666666,4.294872,4.056246333333333,,0.6145912914135123,,0.6351002349214302,,,0.2846092748535982,,0.26932053701681336,,,0.12185663377368552,,0.11204260545025174,,,0.3670569890752822,,0.38298528498472517,,8.318199021002199,8.52927266834396,0.23469956259079922,46.992890007170445,306.48955135319227,-4.698872774155473,1017.8343376028948,0.0005747516969398441,1.35895136800583,423.14439870156957,0.5244615507338866,0.26630855022838074,65.64561931429022,0.15072402882544658,13.165573536134064,15.0,13.48312370239969,2011,11,51.30761,4.51984,,0.23076159356699777,,0.2116506712710167,,5,-2,-0.798019492592324,1.3200791671552314,2.1180986597475555,-1.2759441823175859
2011-12-01,4.557054938709675,1.0,-42.91462903225808,1.0,3.5097629032258046,0.9993279677419354,0.05697116129032254,0.3906293190322579,3.560158387096775,4.106013225806452,,,,0.5624317947898855,,,,,0.211498140151597,,,,,0.08254012705482956,,,,,0.3069440584962919,,6.044231031634689,5.814368634738177,0.2942166744806846,24.460141592447773,302.2057769646886,-16.179237148922848,1010.1383399949592,0.004076287799168828,1.4368209153363674,400.99604591521387,0.3304946480700616,0.24810078942027997,70.00363664626695,0.09859860222830444,13.165573536134064,15.0,13.48312370239969,2011,12,51.30761,4.51984,,,,0.13937267518949625,,5,-2,-1.6358743475690456,0.51354023288246,2.1494145804515057,-1.2759441823175859
2012-01-01,,,,,,,,,,,,,,0.584259353300548,,,,,0.23931010567716288,,,,,0.09643162389348307,,,,,0.3294968151228847,,4.7214054201634434,4.607950512705867,0.28980311157468513,30.929503086721443,290.9765602618176,-15.603345887306919,1019.0398335970802,0.0024836645226379117,1.225912657393057,406.8433290564473,0.3024017313432805,0.2401865907375108,70.88485549290908,0.06610730906753638,13.165573536134064,15.0,13.48312370239969,2012,1,51.30761,4.51984,,,,0.17413763209645358,,5,0,-1.4568625646845146,0.6906634169007707,2.1475259815852854,-1.2759441823175859
2012-02-01,5.412501931034483,0.9992816206896552,0.3219341379310327,1.0,2.083846275862069,0.9949713103448277,0.32506857931034483,1.2501108620689656,2.4707860689655177,3.0505998965517245,,,,0.2864222116412734,,,,,0.15502970815077372,,,,,0.06200307303374695,,,,,0.1010630434795152,,0.9090455143439687,1.416529206280641,0.26941117740543846,63.89235272988504,271.81605935681847,6.845758624482843,1027.51294303755,0.0010397269567364886,1.220520399991115,409.77697573439144,0.23807579994245637,0.2056660361454843,83.29883221126414,0.0,13.165573536134064,15.0,13.48312370239969,2012,2,51.30761,4.51984,,,,0.06878713518846713,,5,0,-1.3893704846570332,-0.13033497047529943,1.2590355141817338,-0.7783515777009454
2012-03-01,16.464554838709674,0.9952957096774193,34.26805516129032,0.9939516451612903,0.12216074161290331,0.9576612903225806,2.9638568387096775,3.4812794193548386,3.0841651612903234,3.553905806451612,,0.6202222292977732,,0.5326522904047366,,,0.2685389455847167,,0.2298455537177768,,,0.11145224655442786,,0.09143160592449547,,,0.36676106898877303,,0.2766118355016118,,8.156339293946282,8.286458750327283,0.2459502157404172,118.03419630663198,300.0620503555566,47.652782068627275,1025.6359031485467,0.0008886896405501704,2.0206495242143765,413.8098195964707,0.4071236407949006,0.2606010937111716,74.36929115272345,0.14716958812586023,13.165573536134064,15.0,13.48312370239969,2012,3,51.30761,4.51984,,0.21067368198089587,,0.16230694214722097,,5,0,0.6655822772375327,0.85489579373829,0.18931351650075734,15.615293854720598
2012-04-01,26.16723766666666,1.0,37.58506066666667,0.9993055666666667,-0.2736859948666666,0.9833333666666667,3.5410469999999994,4.078028999999999,3.2400446666666674,4.6609463,,,,0.5550246276875757,,,,,0.26546040958983713,,,,,0.11030825386547359,,,,,0.2989560123144824,,8.343805895384664,8.788959145576921,0.25291436744030604,160.72737954015457,300.9209537662113,81.6793960376237,1003.7796872674442,0.0029794499893366928,2.586616679844603,407.80433594558485,0.3463024934383202,0.25803736401806615,79.51923174166522,0.15128416799454605,13.165573536134064,15.0,13.48312370239969,2012,4,51.30761,4.51984,,,,0.2068255119872964,,5,0,2.2375059466262015,1.2845525757952396,-0.9529533708309619,29.78732618984677
2012-05-01,55.22265806451612,0.9798387741935485,71.29173758064515,0.9805108064516129,-2.527242229032258,0.9643817419354839,8.914648064516129,9.470620645161292,6.210194516129032,7.619616451612902,,0.7670037033302349,,0.6954126364524458,,,0.3982658893066269,,0.3893476062922132,,,0.18557857874394587,,0.1817924769083693,,,0.5286680157811621,,0.44943196051102946,,14.273458909653778,14.694894076973238,0.24046757553562959,212.63693533015334,329.64104154689056,120.03376987288127,1014.2700838085999,0.0020092009555945922,4.545495581554195,402.71181229037217,0.6318228078633028,0.270733943815031,74.51280632397327,0.2648977702342449,13.165573536134064,15.0,13.48312370239969,2012,5,51.30761,4.51984,,0.3728323616332836,,0.3616845078652665,,5,0,7.249248026339058,3.938898959261372,-3.3103490670776856,72.55135053005756
